"STATISTIÈNA REGIJA","SKD DEJAVNOST","MESEC","Neto plaèa Plaèa za mesec [EUR]"
"Jugovzhodna Slovenija","SKD Dejavnost","2014M07",1049.05
"Jugovzhodna Slovenija","SKD Dejavnost","2014M08",1041.16
"Jugovzhodna Slovenija","SKD Dejavnost","2014M09",998.04
"Jugovzhodna Slovenija","SKD Dejavnost","2014M10",1015.65
"Jugovzhodna Slovenija","SKD Dejavnost","2014M11",1108.01
"Jugovzhodna Slovenija","SKD Dejavnost","2014M12",1033.58
"Jugovzhodna Slovenija","SKD Dejavnost","2015M01",1061.43
"Jugovzhodna Slovenija","SKD Dejavnost","2015M02",975.28
"Jugovzhodna Slovenija","SKD Dejavnost","2015M03",1015.30
"Jugovzhodna Slovenija","SKD Dejavnost","2015M04",1018.29
"Jugovzhodna Slovenija","SKD Dejavnost","2015M05",988.60
"Jugovzhodna Slovenija","SKD Dejavnost","2015M06",1001.74
"Jugovzhodna Slovenija","SKD Dejavnost","2015M07",1003.34
"Jugovzhodna Slovenija","SKD Dejavnost","2015M08",1050.23
"Jugovzhodna Slovenija","SKD Dejavnost","2015M09",996.44
"Jugovzhodna Slovenija","SKD Dejavnost","2015M10",998.47
"Jugovzhodna Slovenija","SKD Dejavnost","2015M11",1128.89
"Jugovzhodna Slovenija","SKD Dejavnost","2015M12",1031.33
"Jugovzhodna Slovenija","SKD Dejavnost","2016M01",1043.95
"Jugovzhodna Slovenija","SKD Dejavnost","2016M02",991.47
"Jugovzhodna Slovenija","SKD Dejavnost","2016M03",1044.71
"Jugovzhodna Slovenija","SKD Dejavnost","2016M04",1019.53
"Jugovzhodna Slovenija","SKD Dejavnost","2016M05",1005.20
"Jugovzhodna Slovenija","SKD Dejavnost","2016M06",1014.45
"Jugovzhodna Slovenija","SKD Dejavnost","2016M07",1013.51
"Jugovzhodna Slovenija","SKD Dejavnost","2016M08",1061.68
"Jugovzhodna Slovenija","SKD Dejavnost","2016M09",1009.39
"Jugovzhodna Slovenija","SKD Dejavnost","2016M10",1004.78
"Jugovzhodna Slovenija","SKD Dejavnost","2016M11",1136.81
"Jugovzhodna Slovenija","SKD Dejavnost","2016M12",1079.18
"Jugovzhodna Slovenija","SKD Dejavnost","2017M01",1068.85
"Jugovzhodna Slovenija","SKD Dejavnost","2017M02",998.57
"Jugovzhodna Slovenija","SKD Dejavnost","2017M03",1043.07
"Jugovzhodna Slovenija","SKD Dejavnost","2017M04",1032.13
"Jugovzhodna Slovenija","SKD Dejavnost","2017M05",1033.90
"Jugovzhodna Slovenija","SKD Dejavnost","2017M06",1032.51
"Jugovzhodna Slovenija","SKD Dejavnost","2017M07",1025.79
"Jugovzhodna Slovenija","SKD Dejavnost","2017M08",1083.93
"Jugovzhodna Slovenija","SKD Dejavnost","2017M09",1031.49
"Jugovzhodna Slovenija","SKD Dejavnost","2017M10",1041.31
"Jugovzhodna Slovenija","SKD Dejavnost","2017M11",1179.09
"Jugovzhodna Slovenija","SKD Dejavnost","2017M12",1128.19
"Jugovzhodna Slovenija","SKD Dejavnost","2018M01",1106.28
"Jugovzhodna Slovenija","SKD Dejavnost","2018M02",1031.24
"Jugovzhodna Slovenija","SKD Dejavnost","2018M03",1064.42
"Jugovzhodna Slovenija","SKD Dejavnost","2018M04",1077.50
"Jugovzhodna Slovenija","SKD Dejavnost","2018M05",1071.56
"Jugovzhodna Slovenija","SKD Dejavnost","2018M06",1061.07
"Jugovzhodna Slovenija","SKD Dejavnost","2018M07",1069.15
"Jugovzhodna Slovenija","SKD Dejavnost","2018M08",1153.26
"Jugovzhodna Slovenija","SKD Dejavnost","2018M09",1041.85
"Jugovzhodna Slovenija","SKD Dejavnost","2018M10",1071.03
"Jugovzhodna Slovenija","SKD Dejavnost","2018M11",1230.32
"Jugovzhodna Slovenija","SKD Dejavnost","2018M12",1157.48
"Jugovzhodna Slovenija","SKD Dejavnost","2019M01",1191.95
"Jugovzhodna Slovenija","SKD Dejavnost","2019M02",1078.08
"Jugovzhodna Slovenija","SKD Dejavnost","2019M03",1101.52
"Jugovzhodna Slovenija","SKD Dejavnost","2019M04",1128.52
"Jugovzhodna Slovenija","SKD Dejavnost","2019M05",1112.62
"Jugovzhodna Slovenija","SKD Dejavnost","2019M06",1090.08
"Jugovzhodna Slovenija","SKD Dejavnost","2019M07",1129.19
"Jugovzhodna Slovenija","SKD Dejavnost","2019M08",1195.44
"Jugovzhodna Slovenija","SKD Dejavnost","2019M09",1091.49
"Jugovzhodna Slovenija","SKD Dejavnost","2019M10",1118.44
"Jugovzhodna Slovenija","SKD Dejavnost","2019M11",1298.96
"Jugovzhodna Slovenija","SKD Dejavnost","2019M12",1249.14
"Jugovzhodna Slovenija","SKD Dejavnost","2020M01",1280.18
"Jugovzhodna Slovenija","SKD Dejavnost","2020M02",1130.56
"Jugovzhodna Slovenija","SKD Dejavnost","2020M03",1099.57
"Jugovzhodna Slovenija","SKD Dejavnost","2020M04",1279.19
"Jugovzhodna Slovenija","SKD Dejavnost","2020M05",1198.61
"Jugovzhodna Slovenija","SKD Dejavnost","2020M06",1172.25
"Jugovzhodna Slovenija","SKD Dejavnost","2020M07",1173.82
"Jugovzhodna Slovenija","SKD Dejavnost","2020M08",1285.66
"Jugovzhodna Slovenija","SKD Dejavnost","2020M09",1160.40
"Jugovzhodna Slovenija","SKD Dejavnost","2020M10",1165.19
"Jugovzhodna Slovenija","SKD Dejavnost","2020M11",1395.82
"Jugovzhodna Slovenija","SKD Dejavnost","2020M12",1340.69
"Jugovzhodna Slovenija","SKD Dejavnost","2021M01",1397.81
"Jugovzhodna Slovenija","SKD Dejavnost","2021M02",1212.09
"Jugovzhodna Slovenija","SKD Dejavnost","2021M03",1251.70
"Jugovzhodna Slovenija","SKD Dejavnost","2021M04",1267.75
"Jugovzhodna Slovenija","SKD Dejavnost","2021M05",1265.44
"Jugovzhodna Slovenija","SKD Dejavnost","2021M06",1249.90
"Jugovzhodna Slovenija","SKD Dejavnost","2021M07",1241.43
"Jugovzhodna Slovenija","SKD Dejavnost","2021M08",1346.19
"Jugovzhodna Slovenija","SKD Dejavnost","2021M09",1194.06
"Osrednjeslovenska","SKD Dejavnost","2014M01",1085.51
"Osrednjeslovenska","SKD Dejavnost","2014M02",1093.14
"Osrednjeslovenska","SKD Dejavnost","2014M03",1085.80
"Osrednjeslovenska","SKD Dejavnost","2014M04",1092.43
"Osrednjeslovenska","SKD Dejavnost","2014M05",1090.57
"Osrednjeslovenska","SKD Dejavnost","2014M06",1080.71
"Osrednjeslovenska","SKD Dejavnost","2014M07",1085.43
"Osrednjeslovenska","SKD Dejavnost","2014M08",1075.12
"Osrednjeslovenska","SKD Dejavnost","2014M09",1080.38
"Osrednjeslovenska","SKD Dejavnost","2014M10",1089.88
"Osrednjeslovenska","SKD Dejavnost","2014M11",1137.14
"Osrednjeslovenska","SKD Dejavnost","2014M12",1102.01
"Osrednjeslovenska","SKD Dejavnost","2015M01",1089.64
"Osrednjeslovenska","SKD Dejavnost","2015M02",1090.36
"Osrednjeslovenska","SKD Dejavnost","2015M03",1099.37
"Osrednjeslovenska","SKD Dejavnost","2015M04",1092.94
"Osrednjeslovenska","SKD Dejavnost","2015M05",1088.24
"Osrednjeslovenska","SKD Dejavnost","2015M06",1092.10
"Osrednjeslovenska","SKD Dejavnost","2015M07",1089.16
"Osrednjeslovenska","SKD Dejavnost","2015M08",1081.43
"Osrednjeslovenska","SKD Dejavnost","2015M09",1080.93
"Osrednjeslovenska","SKD Dejavnost","2015M10",1090.32
"Osrednjeslovenska","SKD Dejavnost","2015M11",1167.71
"Osrednjeslovenska","SKD Dejavnost","2015M12",1126.96
"Osrednjeslovenska","SKD Dejavnost","2016M01",1105.85
"Osrednjeslovenska","SKD Dejavnost","2016M02",1131.53
"Osrednjeslovenska","SKD Dejavnost","2016M03",1126.05
"Osrednjeslovenska","SKD Dejavnost","2016M04",1112.75
"Osrednjeslovenska","SKD Dejavnost","2016M05",1103.00
"Osrednjeslovenska","SKD Dejavnost","2016M06",1101.31
"Osrednjeslovenska","SKD Dejavnost","2016M07",1095.48
"Osrednjeslovenska","SKD Dejavnost","2016M08",1103.64
"Osrednjeslovenska","SKD Dejavnost","2016M09",1099.52
"Osrednjeslovenska","SKD Dejavnost","2016M10",1104.07
"Osrednjeslovenska","SKD Dejavnost","2016M11",1177.93
"Osrednjeslovenska","SKD Dejavnost","2016M12",1154.36
"Osrednjeslovenska","SKD Dejavnost","2017M01",1128.22
"Osrednjeslovenska","SKD Dejavnost","2017M02",1145.66
"Osrednjeslovenska","SKD Dejavnost","2017M03",1151.92
"Osrednjeslovenska","SKD Dejavnost","2017M04",1130.85
"Osrednjeslovenska","SKD Dejavnost","2017M05",1138.64
"Osrednjeslovenska","SKD Dejavnost","2017M06",1132.79
"Osrednjeslovenska","SKD Dejavnost","2017M07",1132.64
"Osrednjeslovenska","SKD Dejavnost","2017M08",1137.42
"Osrednjeslovenska","SKD Dejavnost","2017M09",1135.08
"Osrednjeslovenska","SKD Dejavnost","2017M10",1140.26
"Osrednjeslovenska","SKD Dejavnost","2017M11",1242.12
"Osrednjeslovenska","SKD Dejavnost","2017M12",1212.81
"Osrednjeslovenska","SKD Dejavnost","2018M01",1167.24
"Osrednjeslovenska","SKD Dejavnost","2018M02",1182.94
"Osrednjeslovenska","SKD Dejavnost","2018M03",1178.22
"Osrednjeslovenska","SKD Dejavnost","2018M04",1170.63
"Osrednjeslovenska","SKD Dejavnost","2018M05",1163.84
"Osrednjeslovenska","SKD Dejavnost","2018M06",1162.70
"Osrednjeslovenska","SKD Dejavnost","2018M07",1165.16
"Osrednjeslovenska","SKD Dejavnost","2018M08",1171.22
"Osrednjeslovenska","SKD Dejavnost","2018M09",1151.74
"Osrednjeslovenska","SKD Dejavnost","2018M10",1173.49
"Osrednjeslovenska","SKD Dejavnost","2018M11",1278.40
"Osrednjeslovenska","SKD Dejavnost","2018M12",1246.64
"Osrednjeslovenska","SKD Dejavnost","2019M01",1211.84
"Osrednjeslovenska","SKD Dejavnost","2019M02",1231.59
"Osrednjeslovenska","SKD Dejavnost","2019M03",1236.80
"Osrednjeslovenska","SKD Dejavnost","2019M04",1207.21
"Osrednjeslovenska","SKD Dejavnost","2019M05",1206.83
"Osrednjeslovenska","SKD Dejavnost","2019M06",1201.61
"Osrednjeslovenska","SKD Dejavnost","2019M07",1213.20
"Osrednjeslovenska","SKD Dejavnost","2019M08",1203.37
"Osrednjeslovenska","SKD Dejavnost","2019M09",1199.86
"Osrednjeslovenska","SKD Dejavnost","2019M10",1213.20
"Osrednjeslovenska","SKD Dejavnost","2019M11",1331.63
"Osrednjeslovenska","SKD Dejavnost","2019M12",1315.89
"Osrednjeslovenska","SKD Dejavnost","2020M01",1275.33
"Osrednjeslovenska","SKD Dejavnost","2020M02",1305.48
"Osrednjeslovenska","SKD Dejavnost","2020M03",1264.84
"Osrednjeslovenska","SKD Dejavnost","2020M04",1370.82
"Osrednjeslovenska","SKD Dejavnost","2020M05",1371.85
"Osrednjeslovenska","SKD Dejavnost","2020M06",1289.95
"Osrednjeslovenska","SKD Dejavnost","2020M07",1279.30
"Osrednjeslovenska","SKD Dejavnost","2020M08",1277.99
"Osrednjeslovenska","SKD Dejavnost","2020M09",1272.93
"Osrednjeslovenska","SKD Dejavnost","2020M10",1283.34
"Osrednjeslovenska","SKD Dejavnost","2020M11",1447.15
"Osrednjeslovenska","SKD Dejavnost","2020M12",1426.34
"Osrednjeslovenska","SKD Dejavnost","2021M01",1378.98
"Osrednjeslovenska","SKD Dejavnost","2021M02",1401.58
"Osrednjeslovenska","SKD Dejavnost","2021M03",1423.76
"Osrednjeslovenska","SKD Dejavnost","2021M04",1396.33
"Osrednjeslovenska","SKD Dejavnost","2021M05",1397.80
"Osrednjeslovenska","SKD Dejavnost","2021M06",1360.61
"Osrednjeslovenska","SKD Dejavnost","2021M07",1351.50
"Osrednjeslovenska","SKD Dejavnost","2021M08",1327.72
"Osrednjeslovenska","SKD Dejavnost","2021M09",1315.38
"Gorenjska","SKD Dejavnost","2014M01",992.16
"Gorenjska","SKD Dejavnost","2014M02",995.36
"Gorenjska","SKD Dejavnost","2014M03",1006.35
"Gorenjska","SKD Dejavnost","2014M04",996.11
"Gorenjska","SKD Dejavnost","2014M05",994.44
"Gorenjska","SKD Dejavnost","2014M06",989.11
"Gorenjska","SKD Dejavnost","2014M07",995.28
"Gorenjska","SKD Dejavnost","2014M08",989.11
"Gorenjska","SKD Dejavnost","2014M09",987.17
"Gorenjska","SKD Dejavnost","2014M10",1006.87
"Gorenjska","SKD Dejavnost","2014M11",1064.01
"Gorenjska","SKD Dejavnost","2014M12",1016.28
"Gorenjska","SKD Dejavnost","2015M01",992.31
"Gorenjska","SKD Dejavnost","2015M02",999.40
"Gorenjska","SKD Dejavnost","2015M03",1026.06
"Gorenjska","SKD Dejavnost","2015M04",998.57
"Gorenjska","SKD Dejavnost","2015M05",998.49
"Gorenjska","SKD Dejavnost","2015M06",999.58
"Gorenjska","SKD Dejavnost","2015M07",1006.73
"Gorenjska","SKD Dejavnost","2015M08",992.84
"Gorenjska","SKD Dejavnost","2015M09",992.87
"Gorenjska","SKD Dejavnost","2015M10",1015.05
"Gorenjska","SKD Dejavnost","2015M11",1083.55
"Gorenjska","SKD Dejavnost","2015M12",1023.50
"Gorenjska","SKD Dejavnost","2016M01",997.80
"Gorenjska","SKD Dejavnost","2016M02",1008.62
"Gorenjska","SKD Dejavnost","2016M03",1037.57
"Gorenjska","SKD Dejavnost","2016M04",1013.83
"Gorenjska","SKD Dejavnost","2016M05",1010.38
"Gorenjska","SKD Dejavnost","2016M06",1010.06
"Gorenjska","SKD Dejavnost","2016M07",1012.73
"Gorenjska","SKD Dejavnost","2016M08",1015.24
"Gorenjska","SKD Dejavnost","2016M09",1008.32
"Gorenjska","SKD Dejavnost","2016M10",1015.46
"Gorenjska","SKD Dejavnost","2016M11",1086.24
"Gorenjska","SKD Dejavnost","2016M12",1079.92
"Gorenjska","SKD Dejavnost","2017M01",1025.45
"Gorenjska","SKD Dejavnost","2017M02",1027.00
"Gorenjska","SKD Dejavnost","2017M03",1054.71
"Gorenjska","SKD Dejavnost","2017M04",1030.95
"Gorenjska","SKD Dejavnost","2017M05",1041.41
"Gorenjska","SKD Dejavnost","2017M06",1038.56
"Gorenjska","SKD Dejavnost","2017M07",1042.42
"Gorenjska","SKD Dejavnost","2017M08",1042.09
"Gorenjska","SKD Dejavnost","2017M09",1043.47
"Gorenjska","SKD Dejavnost","2017M10",1054.92
"Gorenjska","SKD Dejavnost","2017M11",1155.92
"Gorenjska","SKD Dejavnost","2017M12",1157.18
"Gorenjska","SKD Dejavnost","2018M01",1064.62
"Gorenjska","SKD Dejavnost","2018M02",1054.02
"Gorenjska","SKD Dejavnost","2018M03",1099.62
"Gorenjska","SKD Dejavnost","2018M04",1068.39
"Gorenjska","SKD Dejavnost","2018M05",1074.50
"Gorenjska","SKD Dejavnost","2018M06",1070.62
"Gorenjska","SKD Dejavnost","2018M07",1078.80
"Gorenjska","SKD Dejavnost","2018M08",1069.20
"Gorenjska","SKD Dejavnost","2018M09",1060.93
"Gorenjska","SKD Dejavnost","2018M10",1075.18
"Gorenjska","SKD Dejavnost","2018M11",1197.17
"Gorenjska","SKD Dejavnost","2018M12",1177.92
"Gorenjska","SKD Dejavnost","2019M01",1087.48
"Gorenjska","SKD Dejavnost","2019M02",1082.38
"Gorenjska","SKD Dejavnost","2019M03",1127.11
"Gorenjska","SKD Dejavnost","2019M04",1110.13
"Gorenjska","SKD Dejavnost","2019M05",1103.95
"Gorenjska","SKD Dejavnost","2019M06",1108.12
"Gorenjska","SKD Dejavnost","2019M07",1100.00
"Gorenjska","SKD Dejavnost","2019M08",1096.17
"Gorenjska","SKD Dejavnost","2019M09",1088.08
"Gorenjska","SKD Dejavnost","2019M10",1095.36
"Gorenjska","SKD Dejavnost","2019M11",1227.27
"Gorenjska","SKD Dejavnost","2019M12",1218.29
"Gorenjska","SKD Dejavnost","2020M01",1133.00
"Gorenjska","SKD Dejavnost","2020M02",1163.28
"Gorenjska","SKD Dejavnost","2020M03",1116.99
"Gorenjska","SKD Dejavnost","2020M04",1217.55
"Gorenjska","SKD Dejavnost","2020M05",1201.12
"Gorenjska","SKD Dejavnost","2020M06",1115.96
"Gorenjska","SKD Dejavnost","2020M07",1136.53
"Gorenjska","SKD Dejavnost","2020M08",1140.22
"Gorenjska","SKD Dejavnost","2020M09",1140.04
"Gorenjska","SKD Dejavnost","2020M10",1140.94
"Gorenjska","SKD Dejavnost","2020M11",1269.33
"Gorenjska","SKD Dejavnost","2020M12",1306.62
"Gorenjska","SKD Dejavnost","2021M01",1207.50
"Gorenjska","SKD Dejavnost","2021M02",1192.67
"Gorenjska","SKD Dejavnost","2021M03",1234.77
"Gorenjska","SKD Dejavnost","2021M04",1226.22
"Gorenjska","SKD Dejavnost","2021M05",1249.18
"Gorenjska","SKD Dejavnost","2021M06",1230.36
"Gorenjska","SKD Dejavnost","2021M07",1221.97
"Gorenjska","SKD Dejavnost","2021M08",1197.69
"Gorenjska","SKD Dejavnost","2021M09",1186.40
"Primorsko-notranjska","SKD Dejavnost","2014M01",913.44
"Primorsko-notranjska","SKD Dejavnost","2014M02",886.77
"Primorsko-notranjska","SKD Dejavnost","2014M03",899.51
"Primorsko-notranjska","SKD Dejavnost","2014M04",918.75
"Primorsko-notranjska","SKD Dejavnost","2014M05",909.58
"Primorsko-notranjska","SKD Dejavnost","2014M06",900.77
"Primorsko-notranjska","SKD Dejavnost","2014M07",913.46
"Primorsko-notranjska","SKD Dejavnost","2014M08",891.33
"Primorsko-notranjska","SKD Dejavnost","2014M09",899.93
"Primorsko-notranjska","SKD Dejavnost","2014M10",910.11
"Primorsko-notranjska","SKD Dejavnost","2014M11",970.29
"Primorsko-notranjska","SKD Dejavnost","2014M12",924.10
"Primorsko-notranjska","SKD Dejavnost","2015M01",915.44
"Primorsko-notranjska","SKD Dejavnost","2015M02",884.74
"Primorsko-notranjska","SKD Dejavnost","2015M03",905.92
"Primorsko-notranjska","SKD Dejavnost","2015M04",914.70
"Primorsko-notranjska","SKD Dejavnost","2015M05",907.65
"Primorsko-notranjska","SKD Dejavnost","2015M06",921.43
"Primorsko-notranjska","SKD Dejavnost","2015M07",919.70
"Primorsko-notranjska","SKD Dejavnost","2015M08",904.96
"Primorsko-notranjska","SKD Dejavnost","2015M09",910.60
"Primorsko-notranjska","SKD Dejavnost","2015M10",909.95
"Primorsko-notranjska","SKD Dejavnost","2015M11",977.91
"Primorsko-notranjska","SKD Dejavnost","2015M12",941.40
"Primorsko-notranjska","SKD Dejavnost","2016M01",909.96
"Primorsko-notranjska","SKD Dejavnost","2016M02",906.01
"Primorsko-notranjska","SKD Dejavnost","2016M03",925.36
"Primorsko-notranjska","SKD Dejavnost","2016M04",911.32
"Primorsko-notranjska","SKD Dejavnost","2016M05",917.17
"Primorsko-notranjska","SKD Dejavnost","2016M06",922.05
"Primorsko-notranjska","SKD Dejavnost","2016M07",904.33
"Primorsko-notranjska","SKD Dejavnost","2016M08",928.71
"Primorsko-notranjska","SKD Dejavnost","2016M09",915.70
"Primorsko-notranjska","SKD Dejavnost","2016M10",907.42
"Primorsko-notranjska","SKD Dejavnost","2016M11",958.93
"Primorsko-notranjska","SKD Dejavnost","2016M12",990.64
"Primorsko-notranjska","SKD Dejavnost","2017M01",930.89
"Primorsko-notranjska","SKD Dejavnost","2017M02",918.95
"Primorsko-notranjska","SKD Dejavnost","2017M03",938.09
"Primorsko-notranjska","SKD Dejavnost","2017M04",921.17
"Primorsko-notranjska","SKD Dejavnost","2017M05",957.13
"Primorsko-notranjska","SKD Dejavnost","2017M06",949.59
"Primorsko-notranjska","SKD Dejavnost","2017M07",930.52
"Primorsko-notranjska","SKD Dejavnost","2017M08",948.10
"Primorsko-notranjska","SKD Dejavnost","2017M09",937.79
"Primorsko-notranjska","SKD Dejavnost","2017M10",950.73
"Primorsko-notranjska","SKD Dejavnost","2017M11",1014.86
"Primorsko-notranjska","SKD Dejavnost","2017M12",1055.20
"Primorsko-notranjska","SKD Dejavnost","2018M01",974.25
"Primorsko-notranjska","SKD Dejavnost","2018M02",933.77
"Primorsko-notranjska","SKD Dejavnost","2018M03",965.49
"Primorsko-notranjska","SKD Dejavnost","2018M04",953.84
"Primorsko-notranjska","SKD Dejavnost","2018M05",973.89
"Primorsko-notranjska","SKD Dejavnost","2018M06",963.53
"Primorsko-notranjska","SKD Dejavnost","2018M07",968.69
"Primorsko-notranjska","SKD Dejavnost","2018M08",973.96
"Primorsko-notranjska","SKD Dejavnost","2018M09",941.47
"Primorsko-notranjska","SKD Dejavnost","2018M10",978.18
"Primorsko-notranjska","SKD Dejavnost","2018M11",1052.31
"Primorsko-notranjska","SKD Dejavnost","2018M12",1081.40
"Primorsko-notranjska","SKD Dejavnost","2019M01",996.71
"Primorsko-notranjska","SKD Dejavnost","2019M02",967.95
"Primorsko-notranjska","SKD Dejavnost","2019M03",989.71
"Primorsko-notranjska","SKD Dejavnost","2019M04",1002.88
"Primorsko-notranjska","SKD Dejavnost","2019M05",1009.12
"Primorsko-notranjska","SKD Dejavnost","2019M06",990.25
"Primorsko-notranjska","SKD Dejavnost","2019M07",1013.26
"Primorsko-notranjska","SKD Dejavnost","2019M08",1001.07
"Primorsko-notranjska","SKD Dejavnost","2019M09",1000.72
"Primorsko-notranjska","SKD Dejavnost","2019M10",1022.03
"Primorsko-notranjska","SKD Dejavnost","2019M11",1057.69
"Primorsko-notranjska","SKD Dejavnost","2019M12",1152.73
"Primorsko-notranjska","SKD Dejavnost","2020M01",1046.24
"Primorsko-notranjska","SKD Dejavnost","2020M02",1027.99
"Primorsko-notranjska","SKD Dejavnost","2020M03",1035.00
"Primorsko-notranjska","SKD Dejavnost","2020M04",1125.46
"Primorsko-notranjska","SKD Dejavnost","2020M05",1132.53
"Primorsko-notranjska","SKD Dejavnost","2020M06",1052.30
"Primorsko-notranjska","SKD Dejavnost","2020M07",1061.09
"Primorsko-notranjska","SKD Dejavnost","2020M08",1057.34
"Primorsko-notranjska","SKD Dejavnost","2020M09",1062.47
"Primorsko-notranjska","SKD Dejavnost","2020M10",1064.39
"Primorsko-notranjska","SKD Dejavnost","2020M11",1151.47
"Primorsko-notranjska","SKD Dejavnost","2020M12",1216.37
"Primorsko-notranjska","SKD Dejavnost","2021M01",1113.41
"Primorsko-notranjska","SKD Dejavnost","2021M02",1104.97
"Primorsko-notranjska","SKD Dejavnost","2021M03",1142.73
"Primorsko-notranjska","SKD Dejavnost","2021M04",1133.22
"Primorsko-notranjska","SKD Dejavnost","2021M05",1174.07
"Primorsko-notranjska","SKD Dejavnost","2021M06",1138.93
"Primorsko-notranjska","SKD Dejavnost","2021M07",1141.76
"Primorsko-notranjska","SKD Dejavnost","2021M08",1098.35
"Primorsko-notranjska","SKD Dejavnost","2021M09",1095.60
"Goriška","SKD Dejavnost","2014M01",1025.05
"Goriška","SKD Dejavnost","2014M02",953.27
"Goriška","SKD Dejavnost","2014M03",960.41
"Goriška","SKD Dejavnost","2014M04",972.04
"Goriška","SKD Dejavnost","2014M05",969.35
"Goriška","SKD Dejavnost","2014M06",966.85
"Goriška","SKD Dejavnost","2014M07",979.18
"Goriška","SKD Dejavnost","2014M08",964.88
"Goriška","SKD Dejavnost","2014M09",983.59
"Goriška","SKD Dejavnost","2014M10",988.79
"Goriška","SKD Dejavnost","2014M11",1002.03
"Goriška","SKD Dejavnost","2014M12",1014.77
"Goriška","SKD Dejavnost","2015M01",982.64
"Goriška","SKD Dejavnost","2015M02",946.02
"Goriška","SKD Dejavnost","2015M03",973.13
"Goriška","SKD Dejavnost","2015M04",984.70
"Goriška","SKD Dejavnost","2015M05",972.54
"Goriška","SKD Dejavnost","2015M06",985.17
"Goriška","SKD Dejavnost","2015M07",986.47
"Goriška","SKD Dejavnost","2015M08",970.13
"Goriška","SKD Dejavnost","2015M09",974.56
"Goriška","SKD Dejavnost","2015M10",985.64
"Goriška","SKD Dejavnost","2015M11",1035.59
"Goriška","SKD Dejavnost","2015M12",1017.87
"Goriška","SKD Dejavnost","2016M01",986.75
"Goriška","SKD Dejavnost","2016M02",980.29
"Goriška","SKD Dejavnost","2016M03",995.40
"Goriška","SKD Dejavnost","2016M04",996.47
"Goriška","SKD Dejavnost","2016M05",992.84
"Goriška","SKD Dejavnost","2016M06",994.94
"Goriška","SKD Dejavnost","2016M07",980.76
"Goriška","SKD Dejavnost","2016M08",1013.71
"Goriška","SKD Dejavnost","2016M09",989.88
"Goriška","SKD Dejavnost","2016M10",998.90
"Goriška","SKD Dejavnost","2016M11",1090.30
"Goriška","SKD Dejavnost","2016M12",1054.45
"Goriška","SKD Dejavnost","2017M01",1014.18
"Goriška","SKD Dejavnost","2017M02",986.44
"Goriška","SKD Dejavnost","2017M03",1021.57
"Goriška","SKD Dejavnost","2017M04",1009.88
"Goriška","SKD Dejavnost","2017M05",1019.95
"Goriška","SKD Dejavnost","2017M06",1010.90
"Goriška","SKD Dejavnost","2017M07",1003.00
"Goriška","SKD Dejavnost","2017M08",1023.65
"Goriška","SKD Dejavnost","2017M09",1024.30
"Goriška","SKD Dejavnost","2017M10",1030.76
"Goriška","SKD Dejavnost","2017M11",1188.24
"Goriška","SKD Dejavnost","2017M12",1100.53
"Goriška","SKD Dejavnost","2018M01",1057.08
"Goriška","SKD Dejavnost","2018M02",1013.13
"Goriška","SKD Dejavnost","2018M03",1037.82
"Goriška","SKD Dejavnost","2018M04",1048.35
"Goriška","SKD Dejavnost","2018M05",1041.78
"Goriška","SKD Dejavnost","2018M06",1047.71
"Goriška","SKD Dejavnost","2018M07",1042.05
"Goriška","SKD Dejavnost","2018M08",1045.59
"Goriška","SKD Dejavnost","2018M09",1019.96
"Goriška","SKD Dejavnost","2018M10",1064.26
"Goriška","SKD Dejavnost","2018M11",1179.38
"Goriška","SKD Dejavnost","2018M12",1134.94
"Goriška","SKD Dejavnost","2019M01",1078.13
"Goriška","SKD Dejavnost","2019M02",1055.62
"Goriška","SKD Dejavnost","2019M03",1072.46
"Goriška","SKD Dejavnost","2019M04",1077.46
"Goriška","SKD Dejavnost","2019M05",1089.65
"Goriška","SKD Dejavnost","2019M06",1073.01
"Goriška","SKD Dejavnost","2019M07",1092.45
"Goriška","SKD Dejavnost","2019M08",1086.15
"Goriška","SKD Dejavnost","2019M09",1068.84
"Goriška","SKD Dejavnost","2019M10",1096.98
"Goriška","SKD Dejavnost","2019M11",1222.35
"Goriška","SKD Dejavnost","2019M12",1196.25
"Goriška","SKD Dejavnost","2020M01",1134.89
"Goriška","SKD Dejavnost","2020M02",1104.19
"Goriška","SKD Dejavnost","2020M03",1084.89
"Goriška","SKD Dejavnost","2020M04",1212.05
"Goriška","SKD Dejavnost","2020M05",1175.23
"Goriška","SKD Dejavnost","2020M06",1093.46
"Goriška","SKD Dejavnost","2020M07",1127.69
"Goriška","SKD Dejavnost","2020M08",1117.34
"Goriška","SKD Dejavnost","2020M09",1118.70
"Goriška","SKD Dejavnost","2020M10",1130.75
"Goriška","SKD Dejavnost","2020M11",1279.50
"Goriška","SKD Dejavnost","2020M12",1269.36
"Goriška","SKD Dejavnost","2021M01",1190.80
"Goriška","SKD Dejavnost","2021M02",1171.25
"Goriška","SKD Dejavnost","2021M03",1208.84
"Goriška","SKD Dejavnost","2021M04",1226.88
"Goriška","SKD Dejavnost","2021M05",1230.70
"Goriška","SKD Dejavnost","2021M06",1215.77
"Goriška","SKD Dejavnost","2021M07",1233.34
"Goriška","SKD Dejavnost","2021M08",1187.47
"Goriška","SKD Dejavnost","2021M09",1176.09
"Obalno-kraška","SKD Dejavnost","2014M01",997.62
